Frame #,CLAV,,,RSJC,,,LSJC,,,REJC,,,LEJC,,,RWJC,,,LWJC,,,RHJC,,,LHJC,,,RKJC,,,LKJC,,,RAJC,,,LAJC,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.066284,-0.013033,1.171422,-0.10332,-0.030391,1.147386,0.235887,0.004325,1.195458,-0.275313,-0.089184,0.948015,0.426594,0.007466,1.017022,-0.150898,-0.202857,0.704551,0.413705,-0.053679,0.727591,0.026186,0.096141,0.623414,0.24122,0.089883,0.652187,0.013103,-0.048947,0.261715,0.326004,-0.004798,0.282597,0.01076,0.018363,-0.002125,0.312317,0.053367,0.016934
2,0.063753,-0.012568,1.169764,-0.105728,-0.031014,1.145674,0.233233,0.005878,1.193855,-0.277337,-0.088059,0.945521,0.42388,0.013557,1.015462,-0.152103,-0.196806,0.700234,0.411853,-0.04286,0.725036,0.021759,0.101121,0.622922,0.236894,0.099218,0.651563,0.012209,-0.045573,0.261667,0.324521,0.002373,0.283307,0.014171,0.016882,-0.003367,0.299964,0.066887,0.019902
3,0.061479,-0.011941,1.167764,-0.107929,-0.031264,1.143853,0.230888,0.007383,1.191674,-0.278711,-0.085913,0.942627,0.421598,0.019205,1.013462,-0.152178,-0.190231,0.696086,0.410662,-0.032286,0.722078,0.017018,0.106158,0.622218,0.232184,0.108816,0.65056,0.009846,-0.041055,0.261095,0.323316,0.009637,0.283932,0.011696,0.020601,-0.004126,0.292282,0.091205,0.025997
4,0.061152,-0.01078,1.166289,-0.10821,-0.031137,1.14291,0.230513,0.009578,1.189667,-0.279275,-0.08283,0.941569,0.420479,0.025542,1.011084,-0.154342,-0.184666,0.693181,0.409575,-0.02113,0.718889,0.013371,0.111381,0.622006,0.228581,0.116925,0.649591,0.00636,-0.03647,0.261106,0.320166,0.023146,0.281699,0.008824,0.024146,-0.00435,0.275092,0.121178,0.031688
5,0.061234,-0.008566,1.165003,-0.108071,-0.029484,1.141709,0.230539,0.012353,1.188296,-0.278929,-0.080545,0.940121,0.420607,0.030411,1.009983,-0.153602,-0.180403,0.69113,0.410683,-0.013572,0.717336,0.012156,0.116376,0.621587,0.227301,0.12435,0.649085,0.005889,-0.031838,0.260787,0.319745,0.038592,0.279471,0.010107,0.027963,-0.004832,0.262783,0.156974,0.040958
6,0.063241,-0.005416,1.164834,-0.106115,-0.025888,1.141511,0.232597,0.015056,1.188156,-0.278948,-0.078044,0.941352,0.421546,0.033962,1.00925,-0.15666,-0.178656,0.691156,0.410139,-0.008271,0.7164,0.014528,0.120911,0.621724,0.229705,0.128,0.649208,0.004944,-0.031241,0.262679,0.321435,0.051946,0.277311,0.00681,0.027092,-0.003293,0.252663,0.190925,0.053475
7,0.062558,-0.001622,1.164095,-0.10681,-0.01976,1.138998,0.231926,0.016516,1.189192,-0.280276,-0.0739,0.938874,0.422113,0.033439,1.011741,-0.158262,-0.175212,0.688826,0.411847,-0.008099,0.718749,0.021241,0.127162,0.620984,0.236217,0.130717,0.650641,0.005754,-0.029571,0.26439,0.3303,0.065086,0.277354,0.008525,0.03182,-0.000885,0.254936,0.221837,0.067839
8,0.063225,0.002546,1.163271,-0.106153,-0.013261,1.136704,0.232602,0.018352,1.189838,-0.280826,-0.072108,0.937497,0.424333,0.032483,1.013904,-0.158883,-0.174322,0.687782,0.415708,-0.009249,0.720887,0.028212,0.132017,0.62007,0.242919,0.134396,0.651726,0.006757,-0.029476,0.266241,0.33993,0.079946,0.277378,0.005911,0.030761,0.000689,0.257148,0.248965,0.080586
9,0.05313,0.006716,1.160888,-0.116237,-0.005705,1.132512,0.222496,0.019137,1.189263,-0.284924,-0.052547,0.927255,0.420618,0.023576,1.017966,-0.161927,-0.159275,0.679957,0.420483,-0.024633,0.725817,0.02607,0.136196,0.61749,0.240395,0.137677,0.651682,0.020068,-0.025643,0.262335,0.340354,0.091732,0.276846,0.036562,0.026966,-0.004325,0.284842,0.269635,0.078311
10,0.064168,0.010013,1.158823,-0.105537,-0.00646,1.13488,0.233873,0.026485,1.182766,-0.280996,-0.060248,0.936187,0.426543,0.036662,1.00587,-0.162915,-0.165875,0.686037,0.418772,-0.010389,0.713636,0.019048,0.137439,0.616501,0.23378,0.149917,0.645499,0.009626,-0.03,0.264081,0.326116,0.117048,0.267302,0.013601,0.023244,-0.002933,0.261126,0.300485,0.076843
