Frame #,CLAV,,,RSJC,,,LSJC,,,REJC,,,LEJC,,,RWJC,,,LWJC,,,RHJC,,,LHJC,,,RKJC,,,LKJC,,,RAJC,,,LAJC,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-0.084576,0.289545,0.965854,0.097843,0.248441,0.988015,-0.266995,0.330649,0.943693,0.236026,0.289377,0.726047,-0.341225,0.436825,0.689653,0.149643,0.513361,0.5393,-0.145873,0.590819,0.503157,0.015338,-0.053278,0.611169,-0.226105,-0.003694,0.582537,0.258766,0.215557,0.401167,-0.398161,0.337298,0.398044,0.139921,0.098667,0.002719,-0.335562,0.232791,-0.003679
2,-0.084576,0.289545,0.965854,0.097843,0.248441,0.988015,-0.266995,0.330649,0.943693,0.236026,0.289377,0.726047,-0.341225,0.436825,0.689653,0.149643,0.513361,0.5393,-0.145873,0.590819,0.503157,0.015338,-0.053278,0.611169,-0.226105,-0.003694,0.582537,0.258766,0.215557,0.401167,-0.398161,0.337298,0.398044,0.139921,0.098667,0.002719,-0.335562,0.232791,-0.003679
3,-0.104507,0.230624,0.984122,0.056761,0.215504,1.00093,-0.265774,0.245744,0.967313,0.159853,0.266464,0.743494,-0.347563,0.315391,0.723151,0.058226,0.44117,0.555929,-0.197138,0.465067,0.528632,-0.016676,-0.065069,0.617286,-0.22977,-0.049661,0.596225,0.201583,0.172254,0.395846,-0.404787,0.244567,0.395748,0.1028,0.070289,0.002295,-0.325233,0.14798,-0.004647
4,-0.084551,0.272395,0.941627,0.08944,0.242132,0.958327,-0.258542,0.302658,0.924927,0.207291,0.283008,0.694652,-0.340295,0.391028,0.675023,0.112425,0.483221,0.504924,-0.168064,0.538506,0.478594,0.002178,-0.05749,0.583738,-0.22872,-0.022028,0.563621,0.250541,0.197293,0.393998,-0.419949,0.299193,0.392562,0.126516,0.086119,0.002858,-0.33381,0.197124,-0.004571
5,-0.091215,0.249712,0.939233,0.073887,0.230162,0.952417,-0.256318,0.269262,0.926049,0.174883,0.275255,0.689662,-0.341535,0.34355,0.680682,0.071068,0.452777,0.498598,-0.191169,0.486503,0.478098,-0.012837,-0.061647,0.575706,-0.231708,-0.039792,0.5604,0.231885,0.178038,0.389814,-0.429899,0.260254,0.389159,0.110947,0.073711,0.002207,-0.33083,0.160931,-0.00508
6,-0.079955,0.274317,0.909391,0.092311,0.246282,0.921659,-0.252221,0.302353,0.897124,0.200143,0.285853,0.654836,-0.336889,0.387596,0.648004,0.100999,0.4771,0.462045,-0.175507,0.528747,0.444014,-0.004099,-0.057038,0.5505,-0.233065,-0.024238,0.53696,0.263634,0.188229,0.387444,-0.442731,0.290123,0.38615,0.124205,0.081998,0.002229,-0.336356,0.187798,-0.005006
7,-0.084754,0.261273,0.905255,0.081721,0.239857,0.915359,-0.251229,0.282689,0.895151,0.179256,0.281914,0.648627,-0.337069,0.35891,0.648033,0.073196,0.458215,0.455367,-0.190364,0.496153,0.439664,-0.014044,-0.058916,0.543155,-0.23584,-0.035302,0.533351,0.254043,0.172116,0.383689,-0.449629,0.265102,0.383304,0.11447,0.073782,0.001681,-0.334386,0.164931,-0.005558
8,-0.077535,0.27881,0.885677,0.093732,0.251775,0.895845,-0.248801,0.305845,0.875509,0.19653,0.290686,0.62652,-0.332718,0.389919,0.625106,0.096212,0.475753,0.430908,-0.177646,0.526012,0.416187,-0.006811,-0.056494,0.528238,-0.235289,-0.024613,0.518235,0.276339,0.177362,0.382543,-0.456396,0.284769,0.381007,0.123858,0.079357,0.001709,-0.337899,0.183395,-0.005642
9,-0.081721,0.269464,0.885377,0.085366,0.247361,0.894909,-0.248807,0.291567,0.875845,0.180836,0.289062,0.626298,-0.331324,0.36938,0.62581,0.07762,0.462343,0.429003,-0.186249,0.503117,0.414711,-0.01265,-0.059051,0.527201,-0.235759,-0.033344,0.518209,0.2682,0.165422,0.380958,-0.460238,0.265578,0.37984,0.117151,0.073142,0.001376,-0.336326,0.166497,-0.005931
10,-0.077275,0.283497,0.873462,0.093758,0.256539,0.883545,-0.248309,0.310455,0.863379,0.194827,0.295163,0.612918,-0.326893,0.392945,0.60986,0.097463,0.477739,0.414066,-0.174199,0.52754,0.399013,-0.006885,-0.057864,0.51957,-0.235196,-0.026107,0.510019,0.28299,0.169943,0.38065,-0.465094,0.278767,0.379341,0.124187,0.07724,0.001476,-0.339294,0.180447,-0.005773
11,-0.080506,0.276143,0.875486,0.087142,0.253748,0.885127,-0.248155,0.298537,0.865846,0.181722,0.294959,0.614834,-0.324076,0.377158,0.612647,0.082591,0.469112,0.414861,-0.179607,0.511161,0.399405,-0.011667,-0.060615,0.521496,-0.235782,-0.033918,0.512942,0.274443,0.162228,0.379951,-0.466785,0.261963,0.378921,0.118318,0.07268,0.001271,-0.337911,0.166814,-0.005861
12,-0.076197,0.287567,0.867416,0.094216,0.262079,0.877664,-0.24661,0.313056,0.857168,0.19053,0.303277,0.605275,-0.317997,0.398311,0.602306,0.099051,0.482897,0.401281,-0.169191,0.531986,0.388032,-0.006902,-0.05978,0.517442,-0.235225,-0.028347,0.50868,0.284922,0.167262,0.379896,-0.468859,0.27318,0.37902,0.123636,0.076339,0.001279,-0.339862,0.178427,-0.005788
13,-0.078398,0.282156,0.871921,0.089073,0.260623,0.88184,-0.24587,0.30369,0.862002,0.180357,0.305115,0.609497,-0.316454,0.386178,0.608416,0.086441,0.476539,0.403878,-0.175348,0.518835,0.3918,-0.010536,-0.061387,0.521942,-0.235373,-0.034274,0.514113,0.276293,0.162043,0.379916,-0.46759,0.260742,0.379449,0.11882,0.072777,0.001121,-0.338393,0.167796,-0.00587
14,-0.075053,0.292181,0.870905,0.095088,0.267769,0.880957,-0.245194,0.316594,0.860853,0.190235,0.311817,0.607644,-0.316073,0.401141,0.605786,0.099976,0.489688,0.401386,-0.170481,0.535438,0.389021,-0.005985,-0.059462,0.523219,-0.234475,-0.028346,0.515145,0.28355,0.167801,0.380914,-0.466494,0.272708,0.381096,0.12329,0.076171,0.001337,-0.339416,0.177418,-0.00579
15,-0.077369,0.287632,0.882121,0.090478,0.266304,0.891715,-0.245215,0.30896,0.872527,0.18161,0.312241,0.618909,-0.317923,0.388087,0.618768,0.085659,0.483894,0.413407,-0.178902,0.522041,0.400682,-0.008743,-0.059165,0.532928,-0.23448,-0.031829,0.525792,0.270601,0.166094,0.381708,-0.460852,0.264976,0.38305,0.119028,0.073891,0.001406,-0.337671,0.168878,-0.005527
