Frame #,CLAV,,,RSJC,,,LSJC,,,REJC,,,LEJC,,,RWJC,,,LWJC,,,RHJC,,,LHJC,,,RKJC,,,LKJC,,,RAJC,,,LAJC,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-0.208009,-0.311168,1.075081,-0.30306,-0.138321,1.08166,-0.112958,-0.484015,1.068502,-0.481847,-0.08338,0.899601,-0.105836,-0.711091,0.894539,-0.620482,-0.273801,0.711231,-0.261814,-0.640535,0.642681,-0.11537,-0.122149,0.562512,0.001403,-0.335691,0.544996,-0.099806,-0.068572,0.220838,0.035797,-0.324068,0.198869,0,0,0,0.150888,-0.244898,-0.015888
2,-0.206001,-0.306707,1.072907,-0.298651,-0.129914,1.077319,-0.11335,-0.483501,1.068495,-0.488949,-0.097946,0.903747,-0.106457,-0.710095,0.893975,-0.639577,-0.299813,0.739527,-0.272027,-0.660672,0.642815,-0.11537,-0.122149,0.562512,0.001403,-0.335691,0.544996,-0.099806,-0.068572,0.220838,0.035797,-0.324068,0.198869,0,0,0,0.150888,-0.244898,-0.015888
3,-0.207601,-0.310454,1.075225,-0.30283,-0.137753,1.081973,-0.112371,-0.483155,1.068477,-0.496747,-0.116004,0.909527,-0.105089,-0.709495,0.893977,-0.658769,-0.330841,0.773068,-0.262601,-0.639698,0.642835,-0.11537,-0.122149,0.562512,0.001403,-0.335691,0.544996,-0.099806,-0.068572,0.220838,0.035797,-0.324068,0.198869,0,0,0,0.150888,-0.244898,-0.015888
4,-0.205145,-0.305643,1.072479,-0.29792,-0.128455,1.076565,-0.11237,-0.482831,1.068393,-0.504588,-0.13139,0.918003,-0.104614,-0.708812,0.893448,-0.67637,-0.354056,0.810644,-0.269386,-0.655624,0.643035,-0.11537,-0.122149,0.562512,0.001403,-0.335691,0.544996,-0.099806,-0.068572,0.220838,0.035797,-0.324068,0.198869,0,0,0,0.150888,-0.244898,-0.015888
5,-0.20757,-0.310994,1.075404,-0.303885,-0.139238,1.082499,-0.111256,-0.48275,1.06831,-0.512692,-0.148227,0.928276,-0.10242,-0.708315,0.893275,-0.691117,-0.379817,0.853335,-0.261082,-0.639475,0.642504,-0.11537,-0.122149,0.562512,0.001403,-0.335691,0.544996,-0.099806,-0.068572,0.220838,0.035797,-0.324068,0.198869,0,0,0,0.150888,-0.244898,-0.015888
6,-0.204334,-0.30555,1.071917,-0.297738,-0.128371,1.075596,-0.11093,-0.482729,1.068237,-0.521063,-0.162155,0.94138,-0.101012,-0.707885,0.892762,-0.703356,-0.397517,0.897932,-0.265677,-0.653198,0.642518,-0.11537,-0.122149,0.562512,0.001403,-0.335691,0.544996,-0.099806,-0.068572,0.220838,0.035797,-0.324068,0.198869,0,0,0,0.150888,-0.244898,-0.015888
7,-0.207974,-0.313062,1.075941,-0.306278,-0.143147,1.083693,-0.10967,-0.482977,1.068189,-0.528958,-0.176413,0.95542,-0.098305,-0.707746,0.892591,-0.713143,-0.415174,0.945105,-0.257722,-0.640657,0.64203,-0.11537,-0.122149,0.562512,0.001403,-0.335691,0.544996,-0.099806,-0.068572,0.220838,0.035797,-0.324068,0.198869,0,0,0,0.150888,-0.244898,-0.015888
8,-0.203405,-0.305808,1.071098,-0.2977,-0.128323,1.074061,-0.109111,-0.483292,1.068134,-0.536471,-0.187217,0.970886,-0.096288,-0.707802,0.89225,-0.720559,-0.424258,0.993028,-0.26135,-0.653503,0.6423,-0.11537,-0.122149,0.562512,0.001403,-0.335691,0.544996,-0.099806,-0.068572,0.220838,0.035797,-0.324068,0.198869,0,0,0,0.150888,-0.244898,-0.015888
9,-0.209448,-0.317171,1.077256,-0.310979,-0.150499,1.086354,-0.107917,-0.483843,1.068159,-0.543134,-0.197755,0.986968,-0.093447,-0.708036,0.892152,-0.724871,-0.432364,1.041888,-0.254215,-0.643524,0.64169,-0.11537,-0.122149,0.562512,0.001403,-0.335691,0.544996,-0.099806,-0.068572,0.220838,0.035797,-0.324068,0.198869,0,0,0,0.150888,-0.244898,-0.015888
10,-0.201701,-0.303986,1.068993,-0.295906,-0.123539,1.069727,-0.107497,-0.484433,1.068258,-0.549258,-0.205468,1.004008,-0.091802,-0.708425,0.892016,-0.726394,-0.433079,1.090072,-0.256986,-0.655332,0.641911,-0.11537,-0.122149,0.562512,0.001403,-0.335691,0.544996,-0.099806,-0.068572,0.220838,0.035797,-0.324068,0.198869,0,0,0,0.150888,-0.244898,-0.015888
