Frame #,CLAV,,,RSJC,,,LSJC,,,REJC,,,LEJC,,,RWJC,,,LWJC,,,RHJC,,,LHJC,,,RKJC,,,LKJC,,,RAJC,,,LAJC,, 
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,237, 282, 592, 174, 74, 626, 274, 195, 607, 116, 334, 139, 162, 290, 1856, 178, 262, 1570, 168, 259, 107, 196, 246, 1020, 239, 111, 432, 156, 94, 1573, 197, 462, 392, 158, 210, 1448, 148, 358, 930 
2,124, 408, 1643, 129, 403, 1077, 175, 170, 1248, 122, 226, 1802, 217, 455, 11, 207, 292, 832, 147, 341, 509, 241, 434, 1333, 212, 117, 366, 260, 281, 575, 114, 221, 1777, 144, 190, 1801, 95, 414, 128 
3,177, 477, 1235, 187, 53, 471, 217, 360, 1147, 80, 164, 655, 260, 190, 336, 162, 386, 1764, 165, 431, 1213, 298, 456, 126, 189, 390, 561, 141, 333, 1568, 257, 173, 1434, 203, 448, 755, 174, 284, 337 
4,223, 458, 1545, 199, 478, 602, 200, 171, 1483, 230, 269, 1610, 169, 154, 1914, 154, 190, 212, 170, 410, 696, 116, 162, 1834, 227, 484, 1857, 197, 246, 93, 188, 290, 1887, 189, 439, 1158, 177, 192, 72 
5,177, 199, 438, 106, 55, 610, 181, 439, 1383, 296, 239, 593, 249, 303, 760, 175, 81, 530, 186, 358, 1114, 200, 437, 1880, 151, 403, 320, 180, 413, 1887, 196, 198, 121, 317, 132, 1445, 243, 318, 891 
6,218, 134, 1504, 206, 56, 318, 103, 426, 842, 167, 345, 1364, 174, 406, 307, 241, 434, 1318, 143, 178, 1219, 81, 437, 1419, 176, 278, 1869, 163, 147, 1705, 153, 167, 803, 172, 309, 1877, 214, 111, 1887 
7,149, 136, 427, 136, 384, 452, 185, 349, 1131, 180, 302, 689, 264, 443, 291, 255, 404, 1618, 69, 376, 1823, 310, 363, 891, 226, 434, 540, 166, 240, 685, 209, 439, 1288, 106, 324, 1058, 153, 475, 351 
8,181, 151, 1689, 292, 498, 1754, 203, 421, 222, 133, 379, 271, 250, 356, 725, 197, 430, 1578, 113, 309, 120, 246, 338, 74, 170, 304, 593, 82, 141, 66, 185, 185, 738, 177, 279, 924, 231, 169, 1770 
9,242, 105, 950, 107, 151, 50, 223, 79, 1324, 166, 351, 61, 141, 317, 1834, 129, 402, 1586, 231, 102, 752, 106, 138, 11, 215, 233, 319, 240, 316, 522, 210, 317, 496, 135, 331, 509, 260, 492, 468 
10,209, 291, 150, 288, 387, 797, 245, 92, 1369, 298, 101, 1538, 249, 190, 363, 214, 53, 70, 230, 450, 360, 133, 207, 1703, 161, 237, 693, 153, 404, 264, 185, 70, 840, 178, 372, 314, 237, 246, 1658 
11,301, 78, 1773, 207, 468, 472, 199, 112, 1805, 187, 409, 328, 225, 264, 319, 237, 384, 1074, 206, 59, 899, 265, 274, 1205, 190, 243, 1148, 206, 332, 1304, 258, 434, 1631, 188, 110, 1672, 160, 103, 1615 
