Frame #,CLAV,,,RSJC,,,LSJC,,,REJC,,,LEJC,,,RWJC,,,LWJC,,,RHJC,,,LHJC,,,RKJC,,,LKJC,,,RAJC,,,LAJC,, 
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,254, 420, 407, 137, 150, 239, 187, 200, 954, 145, 214, 449, 201, 433, 943, 214, 355, 548, 169, 122, 623, 206, 131, 937, 186, 251, 753, 185, 259, 525, 181, 187, 244, 233, 135, 715, 181, 207, 944 
2,187, 452, 783, 136, 291, 678, 238, 264, 226, 141, 275, 116, 186, 450, 79, 223, 256, 168, 142, 374, 517, 133, 385, 810, 230, 151, 581, 217, 247, 791, 191, 126, 201, 202, 492, 73, 136, 433, 168 
3,163, 246, 817, 135, 294, 684, 266, 372, 61, 236, 321, 408, 167, 191, 528, 149, 252, 224, 260, 168, 815, 204, 97, 344, 162, 465, 922, 144, 426, 283, 233, 490, 864, 147, 390, 30, 186, 230, 773 
4,147, 487, 674, 225, 468, 112, 201, 455, 1, 153, 113, 240, 230, 125, 92, 155, 438, 658, 189, 474, 844, 251, 333, 595, 224, 198, 184, 247, 185, 547, 176, 172, 488, 142, 230, 957, 232, 337, 904 
5,171, 268, 357, 168, 82, 905, 240, 104, 149, 277, 460, 401, 191, 346, 240, 260, 276, 165, 194, 112, 711, 161, 441, 239, 189, 185, 306, 245, 65, 161, 254, 351, 480, 244, 411, 852, 264, 193, 464 
6,196, 334, 91, 202, 482, 804, 172, 417, 577, 234, 464, 159, 237, 281, 604, 186, 311, 716, 183, 408, 150, 237, 393, 356, 223, 483, 485, 191, 150, 615, 202, 365, 345, 266, 373, 60, 189, 455, 672 
7,240, 150, 460, 140, 129, 406, 213, 292, 131, 181, 243, 310, 202, 461, 279, 270, 338, 880, 177, 491, 13, 180, 224, 654, 214, 210, 250, 192, 126, 654, 180, 85, 156, 167, 395, 625, 183, 197, 802 
8,215, 435, 532, 215, 478, 612, 170, 180, 493, 146, 160, 646, 177, 376, 579, 174, 322, 864, 265, 279, 698, 297, 280, 531, 258, 264, 548, 211, 126, 873, 140, 193, 326, 206, 65, 112, 198, 193, 646 
9,144, 405, 445, 270, 271, 5, 190, 158, 306, 210, 294, 525, 160, 146, 800, 136, 217, 627, 221, 138, 836, 172, 439, 633, 221, 224, 797, 148, 109, 473, 203, 329, 209, 134, 305, 79, 203, 199, 204 
10,160, 215, 491, 201, 487, 150, 273, 344, 20, 120, 241, 461, 252, 60, 192, 202, 373, 481, 164, 243, 856, 205, 96, 423, 232, 208, 11, 237, 445, 100, 242, 107, 658, 231, 250, 382, 247, 229, 25 
11,165, 158, 838, 255, 380, 954, 202, 432, 237, 181, 329, 841, 254, 122, 912, 172, 404, 315, 212, 229, 456, 181, 431, 75, 147, 340, 167, 217, 226, 694, 147, 387, 93, 244, 154, 332, 220, 282, 7 
12,265, 194, 611, 207, 429, 611, 151, 379, 520, 181, 321, 409, 193, 371, 762, 194, 437, 539, 212, 53, 341, 186, 436, 313, 124, 166, 435, 195, 218, 106, 190, 230, 200, 209, 486, 857, 227, 440, 720 
13,193, 345, 461, 166, 331, 923, 177, 457, 675, 181, 182, 753, 237, 415, 786, 175, 127, 128, 304, 438, 572, 276, 201, 793, 170, 193, 723, 200, 147, 624, 243, 123, 59, 162, 399, 792, 271, 492, 624 
14,167, 220, 782, 211, 230, 9, 142, 422, 634, 217, 272, 895, 177, 235, 270, 176, 336, 28, 268, 335, 25, 185, 165, 409, 214, 405, 253, 234, 474, 293, 165, 152, 491, 188, 405, 648, 232, 450, 492 
15,259, 204, 400, 183, 388, 711, 219, 349, 900, 156, 266, 160, 192, 468, 605, 258, 117, 512, 207, 444, 30, 206, 462, 190, 194, 138, 483, 205, 344, 154, 189, 177, 672, 167, 485, 337, 218, 378, 294 
16,158, 83, 518, 219, 122, 132, 130, 179, 783, 173, 388, 390, 188, 174, 621, 203, 462, 647, 162, 348, 584, 171, 223, 382, 210, 265, 622, 144, 226, 193, 189, 259, 118, 204, 146, 863, 214, 419, 511 
17,146, 453, 778, 222, 126, 441, 215, 199, 467, 131, 367, 236, 263, 408, 349, 171, 207, 674, 187, 170, 38, 169, 137, 886, 187, 429, 20, 255, 428, 353, 231, 462, 452, 229, 453, 952, 204, 173, 559 
18,141, 69, 920, 151, 336, 547, 155, 97, 6, 195, 281, 746, 223, 257, 727, 134, 114, 688, 258, 271, 499, 192, 306, 861, 172, 174, 98, 176, 397, 486, 217, 221, 745, 210, 142, 384, 290, 363, 267 
19,150, 211, 798, 206, 439, 703, 185, 180, 878, 275, 149, 160, 277, 234, 858, 221, 257, 745, 174, 260, 727, 248, 480, 92, 212, 122, 183, 208, 450, 714, 175, 156, 731, 129, 213, 304, 258, 451, 829 
20,242, 295, 643, 216, 371, 142, 236, 419, 771, 257, 307, 810, 202, 392, 646, 205, 435, 871, 237, 489, 543, 281, 327, 75, 217, 378, 310, 251, 459, 808, 253, 486, 723, 234, 401, 853, 214, 472, 909 
21,183, 173, 551, 175, 228, 462, 239, 215, 101, 161, 248, 343, 217, 295, 601, 174, 350, 53, 237, 230, 281, 174, 155, 576, 210, 95, 921, 213, 305, 788, 247, 154, 394, 212, 274, 572, 154, 274, 854 
22,242, 343, 452, 188, 456, 51, 154, 229, 617, 249, 269, 884, 159, 85, 38, 252, 429, 450, 178, 252, 146, 195, 358, 112, 178, 408, 802, 166, 153, 123, 157, 237, 942, 188, 255, 808, 132, 411, 614 
23,278, 383, 504, 163, 477, 635, 106, 356, 629, 260, 465, 139, 195, 282, 337, 240, 483, 329, 280, 356, 335, 248, 354, 319, 217, 219, 667, 204, 341, 671, 233, 145, 806, 111, 215, 696, 269, 328, 428 
24,223, 117, 166, 163, 322, 557, 178, 160, 603, 201, 358, 777, 226, 489, 100, 158, 445, 844, 247, 203, 790, 234, 127, 162, 163, 420, 823, 201, 129, 358, 181, 388, 370, 233, 370, 534, 206, 335, 815 
25,204, 385, 290, 141, 389, 425, 200, 242, 664, 208, 284, 565, 212, 83, 402, 233, 274, 839, 199, 486, 183, 200, 471, 179, 191, 128, 898, 155, 442, 284, 150, 317, 339, 132, 394, 594, 249, 345, 242 
26,219, 382, 501, 103, 458, 194, 213, 203, 848, 144, 414, 839, 224, 249, 187, 185, 220, 283, 183, 414, 872, 217, 273, 351, 210, 74, 568, 268, 370, 265, 152, 164, 231, 145, 317, 853, 235, 222, 702 
27,151, 487, 283, 204, 214, 117, 118, 427, 519, 166, 410, 259, 176, 244, 666, 180, 93, 223, 177, 339, 630, 227, 372, 266, 176, 344, 915, 203, 418, 599, 149, 420, 119, 184, 448, 869, 233, 493, 553 
28,132, 420, 321, 210, 302, 426, 221, 404, 403, 239, 330, 725, 180, 483, 306, 189, 140, 705, 121, 182, 447, 214, 434, 397, 205, 389, 33, 163, 329, 774, 163, 357, 900, 236, 169, 394, 184, 435, 304 
29,225, 317, 532, 116, 197, 833, 174, 137, 529, 206, 224, 5, 249, 244, 145, 190, 54, 236, 172, 86, 741, 170, 423, 324, 219, 332, 865, 190, 151, 432, 207, 449, 289, 246, 361, 933, 184, 107, 203 
30,167, 158, 55, 105, 286, 159, 261, 297, 250, 239, 403, 806, 184, 446, 870, 223, 245, 899, 231, 284, 756, 243, 122, 918, 186, 273, 903, 188, 290, 243, 156, 209, 32, 194, 132, 30, 184, 493, 492 
