Frame #,CLAV,,,RSJC,,,LSJC,,,REJC,,,LEJC,,,RWJC,,,LWJC,,,RHJC,,,LHJC,,,RKJC,,,LKJC,,,RAJC,,,LAJC,, 
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,252, 465, 655, 128, 442, 179, 233, 428, 725, 179, 457, 187, 204, 364, 320, 203, 345, 604, 193, 477, 910, 212, 496, 850, 250, 433, 750, 175, 409, 73, 198, 407, 534, 327, 469, 675, 110, 385, 186 
2,251, 372, 380, 181, 366, 463, 173, 452, 100, 301, 400, 607, 223, 471, 436, 205, 417, 420, 172, 465, 137, 259, 391, 812, 165, 421, 704, 232, 445, 344, 159, 365, 734, 125, 394, 729, 146, 438, 744 
3,175, 386, 462, 216, 476, 135, 192, 408, 94, 265, 349, 455, 329, 463, 11, 288, 455, 483, 168, 496, 345, 242, 438, 403, 150, 479, 379, 230, 438, 784, 260, 397, 36, 215, 354, 778, 240, 395, 646 
4,151, 401, 9, 165, 186, 467, 190, 397, 209, 140, 247, 242, 109, 323, 242, 82, 492, 219, 237, 444, 383, 163, 322, 227, 209, 201, 451, 104, 471, 23, 135, 344, 957, 217, 343, 130, 218, 311, 213 
5,234, 313, 126, 174, 305, 848, 248, 248, 797, 128, 398, 449, 200, 331, 770, 109, 225, 492, 229, 84, 435, 153, 178, 462, 101, 233, 469, 146, 287, 943, 226, 191, 153, 144, 428, 292, 176, 156, 50 
6,234, 291, 928, 208, 300, 42, 252, 287, 908, 253, 352, 27, 244, 338, 590, 104, 331, 70, 280, 343, 159, 325, 386, 734, 183, 323, 283, 263, 262, 32, 221, 408, 95, 232, 282, 183, 239, 355, 359 
7,214, 152, 858, 257, 360, 745, 216, 486, 296, 212, 441, 37, 275, 439, 320, 237, 168, 899, 219, 470, 711, 248, 138, 18, 225, 347, 375, 241, 174, 162, 202, 494, 754, 175, 457, 97, 139, 454, 599 
8,201, 449, 61, 147, 416, 253, 182, 371, 541, 170, 440, 808, 184, 468, 384, 195, 395, 375, 176, 357, 890, 159, 471, 790, 203, 399, 8, 224, 470, 575, 214, 331, 242, 85, 441, 219, 200, 376, 568 
9,217, 332, 763, 190, 363, 77, 216, 343, 792, 118, 342, 486, 171, 384, 931, 164, 416, 488, 196, 338, 412, 237, 388, 649, 231, 272, 478, 210, 234, 170, 276, 309, 246, 214, 386, 501, 218, 386, 139 
10,202, 473, 711, 226, 416, 270, 222, 344, 615, 230, 426, 13, 257, 471, 713, 201, 368, 725, 271, 452, 283, 205, 482, 579, 164, 468, 734, 223, 228, 497, 198, 421, 427, 212, 205, 447, 212, 177, 79 
11,150, 419, 338, 207, 460, 121, 224, 354, 494, 254, 453, 318, 202, 403, 183, 236, 495, 142, 266, 452, 668, 213, 353, 325, 128, 412, 875, 126, 481, 616, 219, 466, 279, 164, 493, 628, 193, 390, 150 
12,167, 273, 631, 171, 183, 387, 223, 429, 375, 152, 374, 938, 198, 146, 399, 244, 77, 243, 215, 253, 725, 93, 441, 780, 163, 279, 585, 203, 327, 258, 261, 121, 675, 80, 423, 923, 193, 181, 514 
