318509.jpg,[806, 324, 849, 304, 925, 280, 936, 201, 432, 951, 645, 588, 740, 176, 741, 579, 242, 572, 962, 346, 691, 802, 665, 851, 331, 640, 529, 467, 734, 911, 0, 2, 1, 0, 2, 0, 2, 0, 2, 0, 1, 0, 0, 0, 2],[762, 588, 739, 873, 123, 420, 354, 233]
969689.png,[408, 555, 567, 365, 762, 285, 709, 401, 310, 421, 838, 334, 635, 730, 561, 130, 668, 258, 943, 640, 298, 143, 773, 179, 432, 217, 740, 326, 128, 738, 0, 0, 0, 1, 2, 1, 0, 1, 0, 1, 2, 2, 2, 1, 1],[269, 717, 146, 984, 831, 178, 291, 730]
409779.png,[155, 491, 835, 601, 543, 871, 622, 220, 899, 179, 407, 896, 998, 675, 162, 837, 278, 148, 722, 206, 590, 850, 488, 459, 627, 874, 554, 793, 242, 329, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 1, 1, 1, 0, 1],[416, 865, 569, 491, 971, 818, 152, 523]
204037.jpg,[575, 845, 116, 687, 601, 661, 610, 435, 267, 793, 294, 397, 225, 601, 386, 810, 674, 544, 672, 783, 438, 186, 548, 442, 241, 499, 967, 797, 255, 260, 0, 0, 0, 1, 0, 2, 1, 2, 0, 1, 2, 1, 2, 0, 1],[930, 678, 424, 974, 236, 990, 517, 105]
969698.png,[258, 867, 904, 345, 603, 295, 591, 851, 836, 683, 147, 804, 617, 143, 881, 892, 102, 261, 657, 195, 732, 204, 607, 866, 286, 743, 329, 389, 119, 747, 1, 1, 0, 0, 2, 2, 1, 0, 0, 0, 2, 2, 0, 1, 0],[466, 850, 683, 213, 446, 974, 343, 235]
526920.png,[385, 328, 953, 195, 421, 458, 335, 470, 534, 964, 933, 789, 787, 317, 561, 284, 378, 413, 618, 148, 767, 143, 804, 406, 983, 358, 493, 831, 599, 891, 0, 0, 0, 0, 2, 0, 0, 1, 0, 2, 1, 0, 1, 2, 1],[666, 537, 708, 111, 688, 889, 569, 259]
049349.png,[148, 559, 807, 865, 451, 692, 786, 803, 324, 530, 781, 770, 520, 944, 805, 334, 683, 831, 978, 642, 690, 540, 286, 310, 744, 722, 660, 268, 148, 498, 2, 1, 0, 0, 0, 1, 2, 0, 0, 2, 0, 2, 2, 0, 1],[449, 654, 757, 817, 120, 450, 834, 880]
950880.png,[943, 338, 997, 815, 440, 825, 225, 378, 477, 941, 817, 158, 811, 159, 944, 708, 182, 956, 710, 958, 126, 764, 437, 997, 148, 628, 524, 917, 261, 559, 1, 2, 2, 2, 1, 0, 2, 0, 0, 1, 0, 2, 0, 2, 0],[288, 454, 849, 300, 675, 166, 136, 833]
336825.png,[724, 424, 296, 568, 850, 147, 775, 710, 715, 616, 592, 645, 941, 219, 496, 709, 722, 968, 623, 988, 847, 469, 989, 243, 379, 235, 473, 676, 532, 501, 2, 2, 2, 1, 1, 1, 2, 1, 0, 0, 2, 2, 2, 0, 2],[387, 819, 773, 194, 370, 177, 242, 336]
311231.jpg,[251, 576, 920, 352, 467, 136, 454, 109, 880, 398, 993, 861, 835, 512, 987, 300, 596, 438, 425, 932, 373, 258, 724, 921, 903, 914, 266, 627, 679, 265, 2, 1, 2, 1, 0, 0, 2, 2, 1, 0, 1, 2, 1, 2, 1],[770, 567, 150, 855, 602, 611, 207, 313]
